,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Daily Growth Rate of Cases (%),Daily Growth Rate of Deaths (%),Cases per 1M Population,DeathRate,RecoveryRate,HighMortalityRisk,SurvivalRate
0,USA,North America,331198130.0,5032179,0.0,162804.0,0.0,2576668.0,0.0,2292707.0,18296.0,15194.0,492.0,63139605.0,190640.0,Americas,0.0,0.0,0.015193862960518527,0.032352585231964125,0.5120382243954359,True,False
1,Brazil,South America,212710692.0,2917562,0.0,98644.0,0.0,2047660.0,0.0,771258.0,8318.0,13716.0,464.0,13206188.0,62085.0,Americas,0.0,0.0,0.013716104125127852,0.03381042116671385,0.7018394124957755,True,True
2,India,Asia,1381344997.0,2025409,0.0,41638.0,0.0,1377384.0,0.0,606387.0,8944.0,1466.0,30.0,22149351.0,16035.0,South-EastAsia,0.0,0.0,0.0014662586134519442,0.02055782313596908,0.6800522758613199,False,False
3,Russia,Europe,145940924.0,871894,0.0,14606.0,0.0,676357.0,0.0,180931.0,2300.0,5974.0,100.0,29716907.0,203623.0,Europe,0.0,0.0,0.005974294091765514,0.01675203637139377,0.775733059293905,False,True
4,South Africa,Africa,59381566.0,538184,0.0,9604.0,0.0,387316.0,0.0,141264.0,539.0,9063.0,162.0,3149807.0,53044.0,Africa,0.0,0.0,0.009063149328193871,0.01784519792487328,0.7196720824104768,False,True
5,Mexico,North America,129066160.0,462690,6590.0,50517.0,819.0,308848.0,4140.0,103325.0,3987.0,3585.0,391.0,1056915.0,8189.0,Americas,1.4448585836439378,1.6479536399855124,0.0035849056019021564,0.10918109317253452,0.6675052410901468,True,False
6,Peru,South America,33016319.0,455409,0.0,20424.0,0.0,310337.0,0.0,124648.0,1426.0,13793.0,619.0,2493429.0,75521.0,Americas,0.0,0.0,0.013793451656436927,0.04484759853230832,0.6814467873933102,True,False
7,Chile,South America,19132514.0,366671,0.0,9889.0,0.0,340168.0,0.0,16614.0,1358.0,19165.0,517.0,1760615.0,92022.0,Americas,0.0,0.0,0.019164810228284687,0.026969681267403203,0.9277199451279212,False,True
8,Colombia,South America,50936262.0,357710,0.0,11939.0,0.0,192355.0,0.0,153416.0,1493.0,7023.0,234.0,1801835.0,35374.0,Americas,0.0,0.0,0.007022698289089215,0.033376198596628555,0.537740068770792,True,False
9,Spain,Europe,46756648.0,354530,0.0,28500.0,0.0,0.0,0.0,0.0,617.0,7582.0,610.0,7064329.0,151087.0,Europe,0.0,0.0,0.0075824511628806235,0.08038811948213127,0.0,True,False
10,Iran,Asia,84097623.0,320117,0.0,17976.0,0.0,277463.0,0.0,24678.0,4156.0,3806.0,214.0,2612763.0,31068.0,EasternMediterranean,0.0,0.0,0.003806492842253104,0.05615446852244648,0.8667549677149292,True,True
11,UK,Europe,67922029.0,308134,0.0,46413.0,0.0,0.0,0.0,0.0,73.0,4537.0,683.0,17515234.0,257873.0,Europe,0.0,0.0,0.004536584147096077,0.1506260263391901,0.0,True,False
12,Saudi Arabia,Asia,34865919.0,284226,0.0,3055.0,0.0,247089.0,0.0,34082.0,1915.0,8152.0,88.0,3635705.0,104277.0,EasternMediterranean,0.0,0.0,0.008151972130721694,0.010748488878568463,0.8693398914947964,False,True
13,Pakistan,Asia,221295851.0,281863,0.0,6035.0,0.0,256058.0,0.0,19770.0,809.0,1274.0,27.0,2058872.0,9304.0,EasternMediterranean,0.0,0.0,0.001273693106880707,0.021411111071690858,0.9084484306205497,False,True
14,Bangladesh,Asia,164851401.0,249651,0.0,3306.0,0.0,143824.0,0.0,102521.0,0.0,1514.0,20.0,1225124.0,7432.0,South-EastAsia,0.0,0.0,0.0015144002324857402,0.013242486511169592,0.5761002359293573,False,False
